Sr.,Questions:,O1,O2,O3,O4,Correct,Domain
19,The ______ keyword is not used in CoffeeScript.,function,char,int,varchar,function,CoffeeScript
20,CoffeeScript includes all the useful features of ____., JavaScript,C++,AL,Swift, JavaScript,CoffeeScript
21,"In CoffeeScript, we can easily concatenate two strings by using __ operator between the two strings.",+,_,?,_?,+,CoffeeScript
22,The CoffeeScript provides a feature known as string ______ used to include variables in the string.,interpolation,insertion,varchar,var,interpolation,CoffeeScript
23,You can use CoffeeScript's destructuring assignment syntax to _____ variables using the array.,swap,add,subtract,multiply,swap,CoffeeScript
24,You can map an array in the object by using _____ with an anonymous function in CoffeeScript.,map(),arr(),char(),split(),map(),CoffeeScript
25,"You can use the existential assignment operator ____ to create and delete the missing function in CoffeeScript.

",(?=),(=?),((=?)),)=?(,(?=),CoffeeScript
26,The main difference between copying an object through assignment and clone-function is the way they handle _______.,references,links,data,mirroring,references,CoffeeScript
27,"In CoffeeScript, a tool is required to translate/ convert CoffeeScript codes into JavaScript. This tool is known as _______.",transpilers,splats,interpretor,conversion,transpilers,CoffeeScript
28,The CoffeeScript was designed and developed by _________.,Jeremy Ashkenas,Jeremy Clarkson,Jonathan Trott,James Charles,Jeremy Ashkenas,CoffeeScript
29,CoffeeScript interpolates _____ in similar fashion to ruby.,strings,characters,variables,varchar,strings,CoffeeScript
30,String concatenation means ___ strings together.,add,multiply,negate,subtract,add,CoffeeScript
31,The ______ object lets you work with a series of characters.,String,char,insert ,variable,String,CoffeeScript
32,CoffeeScript provides a feature called ____ to pass multiple arguments to functions.,splats,split,insert,multipass,splats,CoffeeScript
33,Java is platform-______.,independent,dependent,based,featured,independent,Java
34,The syntax of Java is based on ___ which makes easier to write the program in it., C++,AL,Python,C, C++,Java
35,JVM is an acronym for ________.,Java Virtual Machine,Java Vision Machine,Java Virtual Mode,Java Vision Mode,Java Virtual Machine,Java
36,JRE stands for _______.,Java Runtime Environment,Java Run Environment,Java Runtime Essence ,Java Run Essence,Java Runtime Environment,Java
37,JDK is an acronym for _________.,Java Development Kit,Java Develop Kit,Java Data Kit,Java Databse Kit,Java Development Kit,Java
38,"___ compiles parts of the bytecode that have similar functionality at the same time, and hence reduces the amount of time needed for compilation.",JIT,JDK,JRE,JVM,JIT,Java
39,_______ is a subsystem of JVM which is used to load class files.,Classloader,Classesloader,Cloader,CL,Classloader,Java
40,Java allows to save our java file by ____ only., .java,.jv,.j,.jav, .java,Java
41,________ is a mechanism by which one object acquires all the properties and behavior of another object of another class.,Inheritance,adoption,Transformation,Insertion,Inheritance,Java
42,Aggregation is best described as a ____ relationship.,has-a,is-a,was-a,be-a,has-a,Java
43,The _____ is a variable that refers to the memory address.,pointer,int,long,complex,pointer,Java
44,The _____ keyword in Java is a reference variable that is used to refer to the immediate parent class object.,super,inheritance,Insertion,Adoption,super,Java
45,The object ______ is used to create the exact copy of an object.,cloning,mirroring,twinning,copying,cloning,Java
46,Method _______ is the polymorphism technique which allows us to create multiple methods with the same name but different signature.,overloading,loading,feeding,underloading,overloading,Java
47,Method ______ increases the readability of the program.,overloading,overriding,loading,underloading,overloading,Java
48,Method _______ provides the specific implementation of the method that is already provided by its superclass.,overriding,overloading,loading,underloading,overriding,Java
49,"In Java, the _____ variable is used to restrict the user from updating it.",final,last,update,lock,final,Java
50,"______ in Java is a condition where two or more threads are blocked forever, waiting for each other.",Deadlock,Blockade,Locking,Blockage,Deadlock,Java
51,_____ scheduler in java is the part of the JVM that decides which thread should run.,Thread,Files,Data,String,Thread,Java
52,_____ allows a program to operate more efficiently by doing multiple things at the same time.,Threads,Cookies,Strings,Multi-tasking,Threads,Java
53,"____ condition in Java occurs in a multi-threaded environment when more than one thread try to access a shared resource (modify, write) at the same time.",Race,Run,Loop,Multi-threading,Race,Java
54,The Java _____ keyword is intended to address variable visibility problems.,volatile,void,delete,return,volatile,Java
55,Java Thread ____ represents a group of worker threads that are waiting for the job and reuse many times.,pool,group,team,environment,pool,Java
56,"_____ is an open source, next generation client application platform for desktop, mobile and embedded systems built on Java.",JavaFX,OpenStack,NextCloud,Java+,JavaFX,Java
57,The ____ API in Java provides a feature known as an executor that initiates and controls the execution of threads.,concurrent,XML,JDPC,JDK,concurrent,Java
58,"______ represents a queue which is thread safe to put elements into, and take elements out of from.",BlockingQueue,Package,In line,Edition,BlockingQueue,Java
59,"If a producer thread tries to put an element in a full _______, it gets blocked and stays blocked until a consumer removes an element.
",BlockingQueue,Package,In line,Edition,BlockingQueue,Java
60,____ is a Java API to connect and execute the query with the database.,JDBC,XML,JDK,JRE,JDBC,Java
61,The Java ExecutorService is the interface which allows us to execute tasks on threads ______.,asynchronously,synchronously,simultaneously,easily,asynchronously,Java
62,The ______ object returns a Future object which provides methods to monitor the progress of a task being executed by a thread.,Callable,Return,MON,EXE,Callable,Java
63,The _____ class represents a future result of an asynchronous computation,future,prediction,ahead,result,future,Java
64,The  class keeps track of the available JDBC drivers and creates database connections for you.,DriverManager,Connection,ResultSet,Statement,DriverManager,Java
65,The ______ interface represents the core of the JDBC API.,Connection,DriverManager,ResultSet,Statement,Connection,Java
66,_____ is a fun and flexible programming language.,JavaScript,C,Python,Ruby,JavaScript,Java
67,The Java programming language was developed by .,Sun Microsystems,Microsoft,IBM,Apple,Sun Microsystems,Java
68,How many types of memory areas are allocated by JVM?,5,4,3,2,5,Java
69,The Java programming language uses the compiler named _____.,javac,havac,JT,Java+,javac,Java
70,The Java ______ is a part of the Java Runtime Environment that dynamically loads Java classes into the Java Virtual Machine.,ClassLoader,Loader,Jclass,JVM Loader,ClassLoader,Java
71,Java applications are called WORA where WORA stands for _____.,Write Once Run Anywhere,Write Once Run Alone,Write Once Restrict All,Written Once Run Anywhere,Write Once Run Anywhere,Java
72,Java _____ class represents the files and directory pathnames in an abstract manner.,File,Files,Folder,Directory,File,Java
73,The ______ method deletes the file or directory denoted by the abstract pathname.,delete(),empty(),null(),void(),delete(),Java
74,____ is a keyword and used to specify that a method doesn't return anything.,Void,Null,Empty,Return,Void,Java
75,Java provides ___ types of access modifiers or visibility specifiers,four,three,five,six,four,Java
76,______ methods are the methods in Java that can be called without creating an object of class.,Static,un-static,overriding,overloading,Static,Java
77,A _____ in Java is used to group related classes.,package,grouper,loader,merger,package,Java
78,How many types of constructors are used in Java?,two types,one type,three types,four types,two types,Java
79,"The ______ constructor is used to provide the default values to the object like 0, null, etc., depending on the type.",default,custom,base,def,default,Java
80,Java was first released in ____.,1995,1991,1994,1999,1995,Java
81,"In Java, a _____ constructor is a special type of constructor that creates an object using another object of the same Java class.",copy,clone,twinning,mirroring,copy,Java
82,A _______ in Java is a special method that is used to initialize objects.,constructor,maker,loader,intializer,constructor,Java
83,The _____ variable can be used to refer to the common property of all objects (which is not unique for each object).,static,un-static,overriding,overloading,static,Java
84,The _____ method cannot use non-static data member or invoke non-static method directly.,static,un-static,constant,overloading,static,Java
85,In the following which the instance made by oracle?,Data processes,Oracle background processes,Memory processes,all of these,Oracle background processes,Oracle
86,In dynamic data replication which of the following database is used for oracle,DBMS,DBA,DBMA,none of these,DBA,Oracle
87,"When a ROLLBACK statement is issued to the database, the transaction has ended, which of the following is true.",all work done by the transaction is undone as if it had not been issued.,Any locks acquired by the transaction are released.,all work done by the transaction is done.,A&B both,A&B both,Oracle
88,When the SQL statement is finished which of the following segment is destroyed?,Object Segment,Temporary Segment,Data Segment,None of these,Temporary Segment,Oracle
89,In oracle we can create SNAPSHOT LOG for[DBA].,complex snapshot,destroyable snapshot,Simple snapshot,A&B both,Simple snapshot,Oracle
90,By the help of PL/SQL expression reconstructed using?,HTP,HTTP,FTP,A&C both,A&C both,Oracle
91,Which of the following is the use of index?,simply the user’s perception of the data,retrieve data more quickly and efficiently,retrieve data more quickly,none of these,retrieve data more quickly and efficiently,Oracle
92,"After creating the chain object with CREATE_CHAIN, you define chain steps and chain rules separately. What is the correct argument which is set to NULL?",Evaluation_interval,Define_chain_step,Define_chain_event,Schedules,Evaluation_interval,Oracle
93,"In a distributed database environment, while coordinating with the database administrator to determine the best location for the data, which of these issues will be considered?
",Number of transactions posted from each location,Amount of data (portion of table) used by each node,Performance characteristics and reliability of the network,All mentioned above,All mentioned above,Oracle
94," In ALTER TABLE Maintenance Operations for Table Partitions which maintenance operation partition is used by range, hash, list, composite(range/hash), composite(range/list) from the following?",Coalescing Partitions,Dropping Partitions,Adding partitions,Adding partitions,Both A & B,Oracle
95,While considering Costs and Benefits of Coalescing or Rebuilding Indexes which has lower costs and does not require more disk space?,Coalesce Index,Rebuild Index,Both A & B,None of the above,Coalesce Index,Oracle
96,Which parameter uses all MANDATORY destinations plus some number of non-standby OPTIONAL destinations to determine whether LGWR can overwrite the online log?,LOG_ARCHIVE_DEST_n,LOG_ARCHIVE_MIN_SUCCEED_DEST=n,Both A & B,None of the above,LOG_ARCHIVE_MIN_SUCCEED_DEST=n,Oracle
97,What is the minimum size permitted for a redo log file?,10 MB,6 MB,8 MB,4 MB,4 MB,Oracle
98,A _____________ is a database object existing on multiple servers in a distributed database system.,Replication object,replica object,replication groups,Both A and C,Replication object,Oracle
99,"Which DBA System Privilege used for the operations authorized for drops a table in any schema?
",CREATE USER,DROP USER,BACKUP ANY TABLE,DROP ANY TABLE,DROP ANY TABLE,Oracle
100,Which parameter specifies the exported file containing the metadata for the tablespaces to be imported?,TRANSPORT_DATAFILES,DUMPFILE,DIRECTORY,REMAP_SCHEMA,DUMPFILE,Oracle
101,"Applications should always _____________ commit or roll back transactions before program termination.
",Implicitly,Explicitly,Either of a and b,None of the above,Explicitly,Oracle
102,A synonym is an alias for which object?,Schema,Segment,Extents,Rollback Segments,Schema,Oracle
103,Which of the following conditions are true when you choose the appropriate tables for the Cluster?,"The tables are primarily queried--that is, tables that are not predominantly inserted into or updated",Records from the tables are frequently queried together or joined,Records from the tables are not frequently queried together or joined,Both A & B,Both A & B,Oracle
104,Edit the CONTROL_FILES parameter in the database initialization parameter file to delete the old control file name.,Creating Initial Control Files,"Creating Additional Copies, Renaming, and Relocating Control Files",Creating New Control Files,Dropping Control Files,Dropping Control Files,Oracle
105,"Which initialization parameter is a dynamic parameter that lets you specify or adjust the size of the large pool component of the SGA?
",STREAMS_POOL_SIZE,JAVA_POOL_SIZE,LARGE_POOL_SIZE,SHARED_POOL_SIZE,LARGE_POOL_SIZE,Oracle
106,"Which view shows “completed window runs” in viewing the scheduler information?
",*_scheduler_windows,*_scheduler_window_log,*_scheduler_window_details,*_scheduler_window_groups,*_scheduler_window_details,Oracle
107,Which view shows that all the jobs or both enabled and disabled?,*_SCHEDULER_JOBS,*_SCHEDULER_JOB_ROLES,*_SCHEDULER_PROGRAMS,*_SCHEDULER_JOB_RUN_DETAILS,*_SCHEDULER_JOBS,Oracle
108,"A set of databases in a distributed system that can appear to applications as a single data source known as ________.
",Distributed database,Distributed processing,Both A & B,None of the above,Distributed database,Oracle
109,Which transaction contains statements that access more than one node?,A Remote Transaction,A Distributed transaction,Both A & B,None of the above,A Distributed transaction,Oracle
110,Which modes are used for transmitting archived logs to their destination in  the Specifying Mode of Log Transmission?,Normal archiving transmission,Standby transmission,Both A & B,None of the above,Both A & B,Oracle
111,Which view identifies redo log groups and members and member status in the Redo Log Information?,V$LOG,V$LOGFILE,V$LOG_HISTORY,None of the above,V$LOGFILE,Oracle
112,Which view shows the state of information on all jobs that are currently being run in the viewing Scheduler information?,*_scheduler_running_jobs,*_scheduler_job_run_details,*_scheduler_windows,*_scheduler_job_classes,*_scheduler_running_jobs,Oracle
113,"In Run Scripts to build data dictionary views which script Creates the views of the data dictionary tables, the dynamic performance views, and public synonyms for many of the views, Grants PUBLIC access to the synonyms?",CATALOG.SQL,CATPROC.SQL,Both A & B,None of the above,CATALOG.SQL,Oracle
114,Which view would you query at this stage to investigate this missing control file?,V$INSTANCE,V$CONTROLFILE,DBA_CONTROL_FILES,V$DATABASE_PROPERTIES,V$CONTROLFILE,Oracle
115,Abbreviate the term CSS?,Command Synchronization Services,Cluster Synchronization Services,Command Synchronization Statement,Cluster Synchronization Statement,Cluster Synchronization Services,Oracle
116,In oracle the overall structure of the database is maintained in file called?,roiling files,control files,redolog file,B&C both,control files,Oracle
117,Use of context in oracle is?,store rollback information used when data must be reload back,store user data within database,minimize the amount of wasted (empty) storage,All of these,minimize the amount of wasted (empty) storage,Oracle
118,"In oracle, the following is used to declare the record.",function,procedure,A&B both,package,function,Oracle
119,The LGWR is used to writes information into?,control files,redo log files,database files,none of these,redo log files,Oracle
120,The following component comprise an oracle architecture?,datafiles,tablespace,data related background,All of these,All of these,Oracle
121,For displaying the output on the webpage which of the following method are used?,%ROWTYPE,%ROWCOL,%COL,none of these,%ROWTYPE,Oracle
122,In [DBA] transaction per rollback is derived in,DB-block-buffers,shared pool size,process,none of these,process,Oracle
123,Character data can be stored as ______________,Fixed length string,Variable length string,Either Fixed or Variable length string,None of the mentioned,Either Fixed or Variable length string,MySQL
124,Which declaration represents that “character data will consume the same number of bytes as declared and is right padded”?,Char,Varchar,Both Char and Varchar,None of the mentioned,Char,MySQL
125,Which among the following have the maximum bytes?,Varchar,Char,Text type,Both Varchar and Char,Text type,MySQL
126,Which of the following characters is illegal in naming an unquoted identifier in SQL?,_,$,2,.,.,MySQL
127,How are identifiers quoted in MySQL?,single quotes,double quotes,backticks,can’t be quoted,backticks,MySQL
128,Which of the following is an illegal unquoted identifier name?,123_id,123id,id1,123,123,MySQL
129,Which server mode value enables use of double quotes to wrap identifier names?,ANSI,ANSI_QUOTES,TRADITIONAL,PIPES_AS_CONCAT,ANSI_QUOTES,MySQL
130,Which server mode value disables use of built in function names as identifiers?,ANSI,IGNORE_FUNC,TRADITIONAL,IGNORE_SPACE,IGNORE_SPACE,MySQL
131,What is the maximum length for alias names in terms of characters?,64,128,256,32,256,MySQL
132,What does a fully qualified table name consist of?,only the table name,only the database name,table name followed by database name,database name followed by table name,database name followed by table name,MySQL
133,Which “text type” has the maximum number of bytes?,Tiny text,Text,Medium text,Long text,Long text,MySQL
134,Which one is the correct declaration for choosing the character set other than default?,Varchar(20) character set utf8;,Varchar(20);,Varchar(20) character set;,None of the mentioned,Varchar(20) character set utf8;,MySQL
135,"Mysql support different character sets, which command is used to display all character sets?",SHOW CHARACTER SET;,SHOW;,CHARACTER SET;,None of the mentioned,SHOW CHARACTER SET;,MySQL
136,In oracle database variable length column is declared by ____________,Varchar,Varchar 3,Varchar2,None of the mentioned,Varchar2,MySQL
137,The maximum length of the varchar columns is ____________,"Upto 65, 535 bytes",Upto 256 bytes,"Upto 65, 567 bytes",None of the mentioned,"Upto 65, 535 bytes",MySQL
138,The maximum length of the char columns is ____________,255 bytes,"65, 535 bytes",256 bytes,None of the mentioned,255 bytes,MySQL
139,Which declaration doesn’t use the same number of bytes and consumption of bytes depends on the input data?,Varchar,Char,Both Varchar and Char,None of the mentioned,Varchar,MySQL
140,Android is licensed under which open source licensing license?  ,Gnu's GPL,Apache/MIT ,OSS,Sourceforge,Apache/MIT ,Android
141,"Although most people's first thought when they think of Android is Google, Android is not actually owned by Google. Who owns the Android platform?  ",Oracle Technology,Dalvik,Open Handset Alliance,The above statement is  and Android is owned by Google ,Open Handset Alliance ,Android
142,"As an Android programmer, what version of Android should you use as your minimum development target?",Versions 1.6 or 2.0 ,Versions 1.0 or 1.1,Versions 1.2 or 1.3 ,Versions 2.3 or 3.0,Versions 1.6 or 2.0 ,Android
143,What was Google's main business motivation for supporting Android?,To level the playing field for mobile devices,To directly compete with the iPhone,To corner the mobile device application market for licensing purposes,To allow them to advertise more ,To allow them to advertise more ,Android
144,What year was development on the Dalvik virtual machine started?,2003 ,2005,2007,2006,2005,Android
145,"When developing for the Android OS, Java byte code is compiled into what? ",Java source code,Dalvik application code,Dalvik byte code ,C source code,Dalvik byte code ,Android
146,What does the .apk extension stand for?,Application Package,Application Program Kit,Android Proprietary Kit ,Android Package,Application Package ,Android
147,How does Google check for malicious software in the Android Market?,Every new app is scanned by a virus scanner,Users report malicious software to Google ,Google employees verify each new app ,A seperate company monitors the Android Market for Google,Users report malicious software to Google,Android
148,Which of these are not one of the three main components of the APK?,Dalvik Executable ,Resources,Native Libraries,Webkit ,Webkit ,Android
149,What is the name of the program that converts Java byte code into Dalvik byte code?,Android Interpretive Compiler (AIC),Dalvik Converter,Dex compiler ,Mobile Interpretive Compiler (MIC),Dex compiler,Android
150,What was the main reason for replacing the Java VM with the Dalvik VM when the project began?  ,There was not enough memory capability,Java virtual machine was not free ,Java VM was too complicated to configure,Java VM ran too slow,Java virtual machine was not free ,Android
151,Android Applications must be signed.,After they are installed ,Before they are installed ,Never,Within two weeks of installation,Before they are installed ,Android
152,Which of the following are not a component of an APK file?,Resources,All of these are components of the APK,Native Libraries ,Dalvik executable,All of these are components of the APK ,Android
153,What is contained within the manifest xml file?,The permissions the app requires,The list of strings used in the app,The source code,All other choices,The permissions the app requires,Android
154,What is contained within the Layout xml file?,Orientations and layouts that specify what the display looks like.,The permissions required by the app.,The strings used in the app.,The code which is compiled to run the app.,Orientations and layouts that specify what the display looks like.,Android
155,The Emulator is identical to running a real phone EXCEPT when emulating/simulating what?,Telephony,Applications,Sensors,The emulator can emulate/simulate all aspects of a smart phone.,Sensors,Android
156,The R file is a(an) generated file,Automatically ,Manually ,Emulated,None of the above,Automatically,Android
157,An activity can be thought of as corresponding to what? ,A Java project,A Java class,A method call,An object field,A Java class,Android
158,"To create an emulator, you need an AVD. What does it stand for?",Android Virtual Display,Android Virtual Device ,Active Virtual Device ,Application Virtual Display,Android Virtual Device,Android
159,The ________ file specifies the layout of your screen.,Layout file,Manifest file,Strings XML,R file,Layout file,Android
160,What is the driving force behind an Android application and that ultimately gets converted into a Dalvik executable?,Java source code.,R-file.,the emulator.,the SDK,Java source code.,Android
161,The XML file that contains all the text that your application uses.,stack.xml,text.xml,strings.xml ,string.java,strings.xml,Android
162,"Which of the following is the most ""resource hungry"" part of dealing with Activities on Android.",Closing an app,Suspending an app,Opening a new app,Restoring the most recent app,Opening a new app ,Android
163,What runs in the background and doesn't have any UI components?,Intents,Content Providers,Services ,Applications,Services ,Android
164,What operating system is used as the base of the Android stack?,Linux,Windows,Java,XML,Linux,Android
165,Android is based on Linux for the following reason.,Security,Portability,Networking,All of these ,All of these ,Android
166,Which among these are NOT a part of Android's native libraries?,Webkit,Dalvik ,OpenGL,SQLite,Dalvik,Android
167,Which piece of code used in Android is not open source?,Keypad driver,WiFi? driver,Audio driver,Power management ,WiFi? driver,Android
168,Which Android version had the greatest share of the market as of January 2011?,1.1,1.5,2.3,3.4,1.5,Android
169,Which one is not a nickname of a version of Andriod?,cupcake,Gingerbread,Honeycomb,Muffin ,Muffin ,Android
170,Android releases since 1.5 have been given nicknames derived how?,Adjective and strange animal,Food,Something that starts w/ 'A' -> Something that starts w/ 'B',American states,Food ,Android
171,When did Google purchase Android?,2007,2005 ,2008,2010,2005,Android
172,What part of the Android platform is open source? ,low-level Linux modules,application frame work ,native libraries,all of these answers,all of these answers,Android
173,"Android tries hard to __________   low-level components, such as the software stack, with interfaces so that vendor-specific code can be managed easily. ",confound,absract ,modularize,compound,absract ,Android
174,What year was the Open Handset Alliance announced?  ,2005,2006,2007 ,2008 ,2007 ,Android
175,What is a funny fact about the start of Android?,It was orginaly going to be called UFO,The first version of Android was released without an actual phone on the market,Androids main purpose was to unlock your car door when you left the keys inside of it. ,Was going to be a closed source application to make more money for its company.,The first version of Android was released without an actual phone on the market ,Android
176,"From a phone manufacturer's point of view, what makes Android so great?","Aside from some specific drivers, it provides everything to make a phone work ",It makes the hardware work better,It allows them to compete with Apple's iPhone,"It allows users to create apps, generating revenue for the companies","Aside from some specific drivers, it provides everything to make a phone work",Android
177,What was the first phone released that ran the Android OS?  ,Google gPhone,T-Mobile G1 ,Motorola Droid,HTC Hero ,T-Mobile G1 ,Android
178,Is Python case sensitive when dealing with identifiers?,yes,no,machine dependent,none of the mentioned,yes,Python
179,What is the maximum possible length of an identifier?,31 characters,63 characters,79 characters,none of the mentioned,none of the mentioned,Python
180,Which of the following is invalid?,_a = 1,__a = 1,__str__ = 1,none of the mentioned,none of the mentioned,Python
181,Which of the following is an invalid variable?,my_string_1,1st_string,foo,_,1st_string,Python
182,Which of the following is not a keyword?,eval,assert,nonlocal,pass,eval,Python
183,What is the output of print 0.1 + 0.2 == 0.3?,TRUE,FALSE,Machine dependent,Error,FALSE,Python
184,Which of the following is not a complex number?,k = 2 + 3j,"k = complex(2, 3)",k = 2 + 3l,k = 2 + 3J,k = 2 + 3l,Python
185,What is the type of inf?,Boolean,Integer,Float,Complex,Float,Python
186,What does ~4 evaluate to?,-5,-4,-3,3,-5,Python
187,What does ~~~~~~5 evaluate to?,5,-11,11,-5,5,Python
188,Which of the following is incorrect?,x = 0b101,x = 0x4f5,x = 19023,x = 03964,x = 03964,Python
189,"What is the result of cmp(3, 1)?",1,0,TRUE,FALSE,1,Python
190,Which of the following is incorrect?,float(‘inf’),float(‘nan’),float(’56’+’78’),float(’12+34′),float(’12+34′),Python
191,What is the result of round(0.5) – round(-0.5)?,1,2,0,Value depends on Python version,Value depends on Python version,Python
192,What does 3 ^ 4 evaluate to?,81,12,0.75,7,7,Python
193,Which of the following functions can help us to find the version of python that we are currently working on?,sys.version,sys.version(),sys.version(0),sys.version(1),sys.version,Python
194,Which of the following functions is not defined under the sys module?,sys.platform,sys.path,sys.readline,sys.argv,sys.readline,Python
195,The output of the function len(sys.argv) is ____________,Error,1,0,Junk value,1,Python
196,"To obtain a list of all the functions defined under sys module, which of the following functions can be used?",print(sys),print(dir.sys),print(dir[sys]),print(dir(sys)),print(dir(sys)),Python
197,Which of the following is not a type of inheritance?,Double-level,Multi-level,Single-level,Multiple,Double-level,Python
198,What does built-in function help do in context of classes?,Determines the object name of any value,Determines the class identifiers of any value,Determines class description of any built-in type,Determines class description of any user-defined built-in type,Determines class description of any built-in type,Python
199,The function of re.search is __________,Matches a pattern at the start of the string,Matches a pattern at the end of the string,Matches a pattern from any part of a string,Such a function does not exist,Matches a pattern from any part of a string,Python
200,Which of the following functions creates a Python object?,re.compile(str),re.assemble(str),re.regex(str),re.create(str),re.compile(str),Python
201,Which of the following pattern matching modifiers permits whitespace and comments inside the regular expression?,re.L,re.S,re.U,re.X,re.X,Python
202,The function of re.match is ____________,Error,Matches a pattern anywhere in the string,Matches a pattern at the end of the string,Matches a pattern at the start of the string,Matches a pattern at the start of the string,Python
203,"The special character \B matches the empty string, but only when it is _____________",at the beginning or end of a word,not at the beginning or end of a word,at the beginning of the word,at the end of the word,not at the beginning or end of a word,Python
204,"Which of the following special characters represents a comment (that is, the contents of the parenthesis are simply ignores)?",(?:…),(?=…),(?!…),(?#…),(?#…),Python
205,Which of the codes shown below results in a match?,"re.match(‘George(?=Washington)’, ‘George Washington’)","re.match(‘George(?=Washington)’, ‘George’)","re.match(‘George(?=Washington)’, ‘GeorgeWashington’)","re.match(‘George(?=Washington)’, ‘Georgewashington’)","re.match(‘George(?=Washington)’, ‘GeorgeWashington’)",Python
206,Which one of the following has the highest precedence in the expression?,Exponential,Addition,Multiplication,Parentheses,Parentheses,Python
207,Which one of the following has the same precedence level?,Addition and Subtraction,"Multiplication, Division and Addition","Multiplication, Division, Addition and Subtraction",Addition and Multiplication,Addition and Subtraction,Python
208,"What is the output of this expression, 3*1**3?",27,9,3,1,3,Python
209,Operators with the same precedence are evaluated in which manner?,Left to Right,Right to Left,Can’t say,None of the mentioned,Left to Right,Python
210,"What is the answer to this expression, 22 % 3 is?",7,1,0,5,1,Python
211,Which one of these is floor division?,/,//,%,None of the mentioned,//,Python
212,Which is the correct operator for power(xy)?,X^y,X**y,X^^y,None of the mentioned,X**y,Python
213,Which of the following cannot be a variable?,__init__,in,it,on,in,Python
214,Which of the following is an invalid statement?,"abc = 1,000,000+G246C215:G249C215:G250C215:G249C215C215:G240",a b c = 1000 2000 3000,"a,b,c = 1000, 2000, 3000","a_b_c = 1,000,000",a b c = 1000 2000 3000,Python
215,All keywords in Python are in _________,lower case,UPPER CASE,Capitalized,None of the mentioned,None of the mentioned,Python
216,Class which represents a real-world entity and its instances will be persisted to a database.,entity,persistent,all of the mentioned,none of the mentioned,all of the mentioned,ORM
217,"To allow the identifier to be null, you should choose a primitive wrapper type:-",java.lang.Integer,java.lang.Long,all of the mentioned,none of the mentioned,all of the mentioned,ORM
218,A set of persistent annotations for you to define mapping metadata.,JPA,JSR,XML,None of the mentioned,JPA,ORM
219,Purpose of Static Factory Method?,Static method to create an object,Initialize bean,All of the mentioned,None of the mentioned,Static method to create an object,ORM
220,Exception thrown by factory method?,IllegalArgumentException,IndexOutofBoundException,ClassPathNotFoundException,BeanCreationException,BeanCreationException,ORM
221,Beans can be created by which of the following properties?,Static factory-method,Instance Factory-Method,All of the mentioned,None of the mentioned,All of the mentioned,ORM
222,Which Attribute is used to specify the bean declared?,factory-bean,scope,getBean,declareBean,factory-bean,ORM
223,Way to secure web app’s URL.,servlet filters,refresh-check-delay,http servlet filters,none of the mentioned,servlet filters,ORM
224,"Servlet filter registered in web deployment descriptor, which filters request in spring application context.",DelegatingFilter,DelegatingFilterProxy,DelegatingProxy,None of the mentioned,DelegatingFilterProxy,ORM
225,Servlet APIs to access security information of web application.,HttpServletRequest.isUserInRole(),HttpServletRequest.getUserPrincipal(),None of the mentioned,All of the mentioned,All of the mentioned,ORM
226,To load root application context at the start up.,ContextListener,ContextLoader,ContextLoaderListener,ContextEventListener,ContextLoaderListener,ORM
